ID,Basic data and indicators,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
854,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
108,Total arrivals,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
108,Overnights visitors (tourists),1/,TF,34,27,11,15,26,29,36,74,74,133,148,214,192,202,212,142,144,147,234,235,131,187,299,..,..,..,..,..
108,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
108,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
132,Total arrivals,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
132,Overnights visitors (tourists),1/,THS,28,37,45,52,67,115,134,126,150,157,198,242,267,285,287,336,428,482,503,494,520,598,668,710,758,180,135,785
132,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
132,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
116,Total arrivals,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
116,Overnights visitors (tourists),1/,TF,220,260,219,287,368,466,605,787,701,1055,1422,1700,2015,2125,2162,2508,2882,3584,4210,4503,4775,5012,5602,6201,6611,1306,196,2277
116,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
116,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
120,Total arrivals,,VF,..,..,..,..,..,..,..,..,..,..,..,451,477,487,498,573,604,817,783,822,897,994,1081,997,1021,616,963,539
120,Overnights visitors (tourists),1/,TF,100,145,232,247,262,277,221,226,..,190,176,..,..,480,495,569,600,812,..,..,..,..,..,..,..,..,..,..
120,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,7,3,4,4,5,..,..,..,..,..,..,..,..,..,..
120,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,1,2,1,1,1,..,..,..,..,..,..,..,..,..,..
124,Total arrivals,1/,VF,41657,43256,45076,48064,49055,48638,47147,44896,38903,38845,36160,33390,30373,27370,24696,25621,25066,25318,25167,25558,27555,30142,31081,31274,32430,5068,4282,17924
124,Overnights visitors (tourists),,TF,16968,17329,17669,18870,19411,19627,19679,20057,17534,19145,18771,18265,17935,17142,15737,16219,16016,16344,16059,16537,17977,19971,20883,21134,22145,2960,3062,12824
124,Same-day visitors (excursionists),1/,,24689,25928,27407,29194,29644,29010,27467,24839,21368,19700,17390,15125,12439,10228,8959,9402,9050,8974,9108,9021,9578,10171,10198,10140,10284,2108,1220,5100
124,of which cruise passengers,2/,,136,193,183,191,306,270,276,297,206,247,307,235,221,211,269,204,240,276,274,232,310,303,345,284,250,0,0,947
136,Total arrivals,,VF,1044,1173,1248,1275,1431,1385,1549,1878,2113,1953,1967,2197,2008,1856,1792,1886,1710,1829,1721,1993,2102,2097,2147,2384,2334,660,..,1028
136,Overnights visitors (tourists),1/,TF,361,373,381,404,395,354,334,303,294,260,168,267,292,303,272,288,309,322,345,383,385,385,418,463,503,122,17,284
136,Same-day visitors (excursionists),,,683,800,867,871,1036,1031,1215,1575,1819,1693,1799,1930,1716,1553,1520,1598,1401,1507,1376,1610,1717,1712,1728,1921,1831,538,..,743
136,of which cruise passengers,,,683,800,867,871,1036,1031,1215,1575,1819,1693,1799,1930,1716,1553,1520,1598,1401,1507,1376,1610,1717,1712,1728,1921,1831,538,..,743
140,Total arrivals,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
140,Overnights visitors (tourists),1/,TF,26,21,17,8,10,11,10,3,6,8,12,14,17,31,52,54,65,71,84,96,121,82,107,109,87,35,..,..
140,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
140,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
148,Total arrivals,,VF,58,67,77,89,93,94,175,149,101,106,59,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
148,Overnights visitors (tourists),1/,TF,19,20,27,41,46,43,57,32,21,26,29,46,77,61,70,71,77,86,97,119,120,98,87,77,79,11,40,..
148,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
148,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
152,Total arrivals,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,3713,3657,3584,3963,4397,4457,4601,5487,6712,7621,6603,5431,1311,192,2269
152,Overnights visitors (tourists),1/,TF,1540,1450,1644,1759,1632,1742,1723,1412,1614,1785,2027,2253,2507,2710,2760,2801,3137,3554,3576,3674,4478,5641,6450,5723,4518,1119,190,2030
152,Same-day visitors (excursionists),2/,,..,..,..,..,..,..,781,802,876,1019,959,957,741,1003,897,784,826,843,881,926,1009,1072,1171,880,913,191,2,239
152,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
156,Total arrivals,1/,VF,46387,51128,57588,63478,72796,83444,89013,97908,91662,109038,120292,124942,131873,130027,126476,133762,135423,132405,129078,128499,133820,141774,153260,158606,162538,27467,26380,25250
156,Overnights visitors (tourists),,TF,20034,22765,23770,25073,27047,31229,33167,36803,32970,41761,46809,49913,54720,53049,50875,55664,57581,57725,55686,55622,56886,59270,60740,62900,65725,7967,..,..
156,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
156,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
170,Total arrivals,1/,VF,1433,751,758,823,725,707,788,661,668,840,981,2096,2381,2545,2649,1701,2356,2434,2595,2866,3371,3675,4056,4398,4531,1387,2146,4686
170,Overnights visitors (tourists),1/,TF,1399,631,639,674,546,557,616,567,625,791,933,2045,2254,2317,2364,1405,2043,2180,2288,2552,3099,3370,3712,4020,4169,1252,2127,4519
